id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,ExpectedCharges,ChargeDifference,Household_Score,high_risk,no_streaming_services,no_services,is_vulnerable
594269,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.65,19.65,19.65,0.0,1,0,0,0,0
594270,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),80.15,4367.35,4087.65,279.7000000000003,2,0,2,3,0
594271,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.75,2433.3,2418.0,15.300000000000182,0,0,0,3,0
594272,Female,0,Yes,Yes,59,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),69.95,4735.35,4127.05,608.3000000000002,2,0,0,3,0
594273,Female,1,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,90.45,3143.65,3346.65,-203.0,1,1,1,3,0
594274,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.85,536.35,500.40000000000003,35.94999999999999,2,0,0,0,0
594275,Male,0,Yes,Yes,24,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,30.4,688.65,729.5999999999999,-40.94999999999993,2,0,2,3,0
594276,Male,0,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.6,418.4,354.2,64.19999999999999,0,0,2,3,0
594277,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.7,268.45,256.09999999999997,12.350000000000023,1,0,0,0,0
594278,Female,1,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,2871.5,3027.6000000000004,-156.10000000000036,0,0,0,2,0
594279,Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,293.25,303.9,-10.649999999999977,0,1,0,3,0
594280,Male,1,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,97.1,2842.55,2718.7999999999997,123.75000000000045,1,0,0,2,0
594281,Male,0,Yes,Yes,48,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),65.25,2882.65,3132.0,-249.3499999999999,2,0,2,1,0
594282,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.1,72.1,72.1,0.0,0,0,2,4,1
594283,Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,100.85,2799.0,2722.95,76.05000000000018,1,0,0,3,0
